cx,cy,cz,h
0.11,0.27,0.63,0.30
0.22,0.38,0.74,0.40
0.81,0.85,0.48,0.45
0.35,0.65,0.10,0.55
0.25,0.55,0.09,0.60
0.35,0.25,0.24,0.70
0.28,0.22,0.21,0.90
1.00,1.00,1.00,1.00
